"text","y"
"I can't praise this film enough. It had a lot of that hand-held, first-person shaking camera which I love (and some hate, because it makes them sick), like REC, Cloverfield and Blair Witch Project.<br /><br />It is a long movie for its kind, but I didn't even notice because the film was so interesting. By just showing the footage from a paranormal reporter's work the movie keeps up the pace, making it a real-time experience for the viewer.<br /><br />While I would never call this film the ""scariest horror ever made"", I'd have to say it's certainly one of the best I've seen. The fear factor here is constructed by details in the images, camera glitches, events linked to one another which lend a very mysterious and haunting tone to the movie. The horror is more in what is not shown, but left to our imaginations. The ending is perfect, and be warned that you might have nightmares afterwards. A second viewing is highly recommended, though.<br /><br />Watch this one alone in the dark, don't expect anything and you'll have fun.",1
"I have always wanted to see this because I love cheesy horror movies and with a title like this, I was sure ""The Incredible Melting Man"" would be a lot of fun.<br /><br />It really wasn't. I mean, the acting was entertainingly bad, the script contained some classic bad lines and the special effects looked like someone had sneezed all over the lead actor, so I should have loved it. Unfortunately it's really draggy between these highlights. I decided to watch the last half of the movie while doing my tax return. That's how boring this film is.<br /><br />Nevertheless, if you love bad movies you will enjoy the dramatic exit of the Fat Nurse, and the stellar acting of the guy who plays Dr. Ted. To be fair to the poor man, he does have to deliver some amazingly inept lines with straight face - like the conversation he has with his wife on tracking down the I M Man:<br /><br />""I'll find him with a geiger counter."" ""Is he radioactive?"" ""Just a little bit."" <br /><br />Yes, the plot has Dr. Ted wandering about trying to find a superstrong zombie killing machine armed only with what looks like a mini-Dyson. He's a brave man. Unfortunately his plan fails when he finds a big lot of goop on a tree. ""Oh god - it's his ear!"" says Dr. Ted to the audience. I'm so glad he cleared that up. <br /><br />I realise I'm making this movie sound rather fun. It would be if it were only 10 minutes long, but unfortunately it goes on and on, and the Incredible Melting Dude just dangles about making a sticky mess when he should be eating more people in my opinion. I think if you were truly stoned you would probably love it, just don't have pop-tarts during the movie, because the lead actor really does resemble one near the end.",0
"""Antwone Fisher"" tells of a young black U.S. Navy enlisted man and product of childhood abuse and neglect (Luke) whose hostility toward others gets him a stint with the base shrink (Washington) leading to introspection, self appraisal, and a return to his roots. Pat, sanitized, and sentimental, ""Antwone Fisher"" is a solid feel-good flick about the reconciliation of past regrets and closure. Good old Hollywood style entertainment family values entertainment with just a hint of corn. (B)",1
"The secret is...this movie blows. Sorry, but it just did. <br /><br />****SPOILER****<br /><br />In this bad riff on I KNOW WHAT YOU DID LAST SUMMER and SCREAM, Beth, played admirably by Dorie Barton, joins several friends on a Spring Break trip. The group rents a fancy house and tries to enjoy a fun vacation. Then, the deaths begin. First one then another then another of the friends is murdered, leading to a sad and trite climax with predictable results. <br /><br />One note, Dorie Barton is the poor man's Reese Witherspoonshe looks like Reese, acts like Reese and could pass for Reese in a police lineup. Maybe that's how they cast her? Anyhoo, decent cinematography and fair acting could not quite make up for bad dialog and terrible writing.",0
"While rehearing Carmen of Bizet, the middle-aged choreographer Antonio (Antonio Gades) brings the sexy Carmen (Laura del Sol) to perform the lead role. Antonio falls in love for Carmen, who is an independent and seductive woman incapable to accept a possessive love. When Carmen has an affair with another dancer, Antonio is consumed by his jealousy like D. José in the original opera, entwining fiction with reality.<br /><br />""Carmen"" is another great movie of Carlos Saura's trilogy dedicated to the Flamenco dance. The dramatic love story is developed with the lives of the artists entwined with the characters they are rehearsing, and many times is not absolutely clear whether what is happening is reality (with the dancers) or fiction (of the play). Paco de Lucia is another attraction of this original version of the famous Bizet's opera, which is based on the novel of Prosper Mérimée. My vote is seven.<br /><br />Title (Brazil): ""Carmen""",1
"I had heard about ""gaming"" and ""Dungeons and Dragons"" before, but I had know idea it could be like what I saw in the ""Gamers: Dorkness Rising."" These guys are so funny and fun to watch. Especially the guy who plays the ""bard"" or ""minstrel"" or whatever, he has a gift for physical comedy and timing. There is so much background humor and energy in some of the scenes that make you really think that at least some of it was improvised there on set. The special effects needed to be worked on a bit, but I saw it at a convention last year and thats one of the things they said they were going to redo and make better, so it's probably wicked now!",1
"Only saw this movie late last night. I remember the hype of it's release and to be honest had I viewed it back then I maybe wouldn't have been so generous. I hate hype, it can ruin a movie. I think the movie glossed over the characters and put too much emphasis on Woody. He was good too - although kept wondering if he was stoned the whole time. It never went too deep. Redford was dark but not too dark and his character let me down in the end. To me he should have been more confrontational with Demi - throwing her out perhaps or telling her that she was paid for. After all he would have investigated them before he made the proposal - that's not shown in the movie, but no one in his perceived position would have made an offer to just anyone. He was cruel to the point of breaking them up and the last straw was the house and yet Demi fell for him? The passages giving an insight to Demi and Woody's relationship were the best part of the movie. There was a keen deepness that outshone the shallowness of John Gages character. He really could have been a lot stronger and as other people have alluded I think the movies draw-card was Redford and they didn't want tarnish his ""image"". I say what the hell Robert was old in this movie! Woody and Demi's characters were naive in a sense, but I think that was very intentional to draw you to their plight and champion their decision. But the reality is, they were losing their dream home and where did they go? Las Vegas? to gamble what little they had left and then accept a proposal from an insanely rich billionaire. I found their naivety when Redford was seducing them a little too unrealistic. The movie could have been so much more and other actors would have made a difference, but having said that on late night TV - it was enjoyable and I if you don't think too much - also palatable",0
"Scarecrow Gone Wild starts as high school teenager Mike (David Zelina) & his mates decide to to give a 'hazing' to wimpish diabetic Sam (Caleb Roehrig) as an initiation of some sort. Mike & his mate decide to take Sam to a corn field, tie him to a cross next to a freaky looking scarecrow & leave him there all night, sounds like fun right? Well, things backfire when Sam goes into a diabetic coma after suffering from a hypo & the vengeful spirit of Sam passes into the scarecrow which comes to life & starts to hunt down the kids responsible for Sam's unfortunate life-threatening predicament. Can Sam's best mate Jack (Matthew Linhardt) & his girlfriend Beth (Samantha Aisling) save the day & Sam's life?<br /><br />Written & directed by Brian Katkin Scarecrow Gone Wild is the third straight-to-video entry in the Scarecrow series & while I haven't seen either of the previous two after seeing Scarecrow Gone Wild I'm certainly in no hurry to change that situation that's for sure. The script actually has an almost decent premise as the wronged soul of Sam seeks revenge & his friends have to keep the real Sam alive somehow but the way it is told is poor & I suppose that basically it's just an irrelevance to the fact that this is a film about a killer scarecrow running around killing people in not very gory or imaginative ways. Having said that there are one or two scenes here which save it from a one star rating, the fart gag in the corn field is funny & something a lot of immature blokes might do (like me), the bit when two guys bury their mate in the sand & then stand over him & pee on him is also rather funny in a laddish juvenile way & a cool bit when some guy starts singing an awful song so the scarecrow throws a pole which impales him! However these OK bits are few & far between & as a whole it's a silly, boring, poorly written teen slasher film with highly annoying character's who irritate. It' also very predictable & has a stupid twist ending which doesn't really feature the scarecrow at all which is a problem as when you watch a film called Scarecrow Gone Wild you expect to see a scarecrow go wild & I have to admit he looks quite cool as horror character's go.<br /><br />Director Katkin does a reasonable job here actually although what on Earth is up with that hospital at the end & all that neon lighting everywhere & the fact there is only one patient there & two members of staff? The cinematography is much better than the usual straight-to-video low budget horror film of late & there's some nice, if totally unrealistic, lighting. The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself. There's not much gore here, there's a couple of scenes where some actor has some fake guts placed on their stomach to represent them being gutted but it looks pretty fake, there's also a burned face & a couple of impalement's but little else. There's a fair amount of naked female breasts on show if that's your thing.<br /><br />Technically Scarecrow Gone Wild is pretty good considering some of the low budget abominations I've sat through recently, unfortunately it's still a poor film overall. The least said about the acting the better.<br /><br />Scarecrow Gone Wild isn't as bad as some of the straight-to-video horror crap that's been turning up recently but having said that it's not that much better & it's still a bad film when all said & done. Not recommended, the two previous entries are Scarecrow (2002) & Scarecrow Slayer (2003) both of which also went straight-to-video.",0
"This movie was a littttle confusing at first. I usually like Gina Phillips, but this one I have to say was a bad choice just like her doing the movie Ring Around the Rosie, that one also not one her good movies. Jeepers Creepers was way better. Anyway, Faye Dunaway was good. She totally creeped me out and at the end, that was crazy. It was about Jennifer Cassi(Phillips) who comes to her twin sisters funeral. She stays at a house that her sister owns and her grandmother(Dunaway) lives at with an Aunt named Emma. Mary Ellen(Dunaway) is kinda sacrificing her relations to stay alive and as long as she wants to live, she can't die. Even if Jennifer tries to kill her, which she tries. Ravens have a weird part in it. When the relations go to sleep, the Ravens eat there organs, so they can't go to sleep. But they do. Basically it all crazy and Mary Ellen will never die and her relations will be buried, but not dead, b/c they have to suffer forever so Mary Ellen can stay alive. Yeah, I hope this helps. If it doesn't, sorry. Love ya.",0
"I saw this movie years ago, and I was impressed... but then again I was only 12 years old. I recently re-watched it and want that time back. This film is pretty bad. While I like Lee Majors, Chris Makepeace (watch My Bodyguard (1980)if you would like to see a GOOD movie that he was in... of Meatballs (also starring Bill Murray) for some laughs), and Burgess Meredith, this role does/did nothing for their careers.<br /><br />Anyway, Lee Majors character, Franklyn Hart, is an ex- race car driver who plans on driving his race car (which he had in storage) across the country to California. One Problem: The government has outlawed all private transportation. I thought the concept was OK (not the worse I've heard of), but the execution failed horribly.",0
