"text","donation","donated"
"Would you like to donate to a children's charity called Save the Children? a non-governmental organizationt aht promotes children's right, supports kids in developing countries. Syria, Thousands of kids die in just a quarter of a year over there and you could help save them with just some pocket change. London, United Kingdom. If you care about children, even a little bit, then you should be outraged and willing to help make an impact You don't have to take my word for it, you can check them out at  URL  they have helped countless children around the globe, their credential are Impeccable! I'm sure you've made some frivolous purchases, we all have. I'm only asking for you to pick the kids today. Every bit counts. You can donate right through the website I provided a link for, in the top left corner there is a red donate button. No problem and thank you for helping children in need. You should feel proud. Yes, it will also include a subscription that you can opt out of, but will show your dollars at work and keep you informed on what you contributed to. It's a Save The Children eNews letter that provides breaking emergency alerts and updates on what your money helped with. These contributions are tax-deductible in the US. Thanks again for choosing to help the children.",0,FALSE
"Hi, have you ever heard of the charity ""Save the Children"" before? Save the Children is a charity organization that provides funding to help get children access to health and education all over the world   Yeah St Jude's is a great organization that helps find cures for diseases.  There are a lot of other emergencies out there besides disease though, like disasters caused by weather or conflict and Save The Children provides money to help kids affected by that Save the Children definitely has an effect on treating kids, they are active in over 120 countries and as well as providing funding to local organizations they also give direct aid like emergency supplies after a disaster. So they really can do it either way.   Yeah those commercials can be persuasive, there are so many different disasters affecting kids all over the world. The food insecurity in Africa is off the charts whenever there is a drought and Save the Children helps provide food to starving kids there. Any donation can really help provide more food. Yeah its hard because wll live in such a connected world that you hear about so many awful things going on. On the positive side though in the past all of these awful things were happening but there were less mechanisms to help stop it. But for example this week thousands were displaced in Somali because of flooding but now Save the Children along with other organizations will go over there to help them.  URL here you go I have but not directly with Save the Children, I have been active in other organizations though like Boys and Girls Club Some do, but the sponsorship isn't just for a specific child it just goes into a fund. The kids write letters to people who put money into the fund. That allows them greater flexibility to move money around to where its needed I think it really is more of a positive because if someone was to donate but later on in life they had to pause their donation for a time for some reason or another they wouldn't feel morally responsible for that child no longer being supported, because their would be other donors in the fund that would pick up the slack.  Great happy to help! Thanks for a nice conversation",0,FALSE
"hi you would like to donate to a children's charity? it is a great one . you must appreciated  it is my responsibility . Not only me my family also donate to children's charity. because i don't have father and mother . so i want to donate something for children . i thought that  no one child have hard times. my family is very good family ,. so they are also like to donate .  what a great soul . how many years you donating to the charity? what a same thinking i also donate every couple of years . my first donation was in 2012. you married or not ? so sorry about that . i pray to god soon you have a son or daughter and  they are also  donate something like you mark my words .. what difference you want ? i am very kind . because i know the feelings of cancer children , children without parents . this hit is the best hit i had ever seen . because it gives a good hearted person like you . thank you very much.",0,FALSE
"Hey, how are you doing, have you ever heard of a charity called Save the Children? It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind? May I ask why? Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested? That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children? I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight? You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world? Do you have children yourself? What if your children were in a position these kids are in, wouldn't you want someone to help them? If only they had parental support, but in war-torn countries like Syria their parents are being killed in wars or are fighting for their country, they have no help and that's why they need your support, please find it in your heart to just give a little bit tonight, that's all I'm asking. Well with our current president it's not likely they're going to be brought the US, so they need any help they can get, and 25 cents might not seem like a lot, but if 10000 people donated 25 cents then the impact will be huge. I understand it may not seem like a lot, but it can really make a difference. You can donate some or all of your payment from this task to Save the Children, i'd really appreciate it if you did, but I understand if you still don't want to. What do you say?  Oh thank you so much, you have no idea how much that .50 will mean to those children, thank you very much and have a wonderful night you blessed soul.",0.5,TRUE
"Hi there Have you heard of the Save the Children charity? It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food. It's for a great cause. Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today. Sometimes we're in a better place and we have to do what we can to help their conditions a little bit. Even little bits can go a long way, you know? Absolutely. I remember seeing ads on the television about it and it breaks my hear to see children so sad and suffering in conditions that they live in. I haven't personally witnessed experiences first hand, however, it comes down to basic human needs. Exactly. It's not like we really get the choice of how/when/where we are born. It's a matter of chance. It's unfair to be born into conditions like that. Absolutely! Would you like to be able to assist some of these children by donating any amount of your choosing up to $2? A little bit can go a long way! The charity will greatly appreciate your contribution I'm sure! Are you absolutely sure you'd like to donate $0.50? Okay, the charity will greatly benefit from your help! If you'd like to donate a few more cents, that would help even more children get out of poverty and live a much more clearer life. I absolutely understand. Thank you for taking the time to help assist the charity and I hope that you have a wonderful day!",0,FALSE
"It would be really helpful if you donated to Save the Children fund! When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave. We ensure children's unique needs are met and their voices are heard. We deliver lasting results for millions of children, including those hardest to reach. We do whatever it takes for children ¡ª transforming their lives and the future we share ¡ª because we believe every child deserves a future. US and global, wherever children need help, they are there. Absolutely, a small amount of money for us turns out to be life changing for those in need. A dollar can buy a lot! Yes, it is one of the core programs. It leads children out of poverty so is a large focus. You can do a one time donation or a monthly subscription. between 5 - 100 Yes you can sponsor a child and receive specific information about what your money is doing and how they are progressing each month. From infants to young adults all children are helped. Thank you, that is wonderful and you will help a tremendous amount! Yes you can write them letters and they can write you back, thanks!",0.5,TRUE
"Hello I'd like to speak to you about Save the Children. Do you have any kids? Save the Children is an international non-governemnt organization. Their goal is to promotes children's rights, provides relief and helps support children in developing countries. They help out many third world countries from all over the world. How do you feel about those who were unluckily born to poor circumstances? You sound like a really kind person. Would you like to make a donation to Save the Children. Anything will help. Thank you! That will make a difference in many of their lives. Yes. There is.  URL  Thank you. It will be appreciated it. Absolutely. Recently, we will have been involved in the US-Mexico border crisis involved with separating children from their parents at the border. Thank you. It will be difficult, but we are focused in reuniting the children with their family. The separation should never have happened.",0,FALSE
"Hey there Yep. Do you happen to be a parent? How are they relevant to you? I would like to find out, so I can tailor the information to you. Have you ever worked with children with were born to poorer families? You sound like someone who would really appreciate what Save the Children does. We definitely need more people like you in the world. Every little thing does make a difference. Have you heard of the separation of kids from their parents at the Mexico-US border lately? Yea. We are actually involved in that as well and helping to reunite the kids with their families. Would you like to help by donating? Even a couple of cents. Whatever you can afford.",0.05,TRUE
"Heyo! How're you doing today? I'm doing alright. I just had a thought on my mind that I wanted to ask you about  Do you donate when you get the chance? I was thinking about how everywhere you go, they ask you to donate .50 here and your change there. I think I need to actually start donating. How does it make you feel? Do you donate? How do you feel about Save the Children? My nephew had to get taken into the hospital not too long ago and I just got the letter in the mail saying they used Save the Childrens donation money to help him. I'm thinking about donating to them.  We found out the hard way that he has actual celiacs (sorry I can't spell too well) and he has an allergic reaction to the cake on his birthday. He went through a TON of testing and that's how they caught it. He has to stay overnight at the hospital for a few weeks and his parents just couldn't afford it. That's when Save the Children came around to help They helped cover the bills for it since he's in Africa. He's doing much better now though!  I am! I'm thinking about donating to them would you be willing to help? You can choose any amount from 0 to all of you payment Oh man, I can't believe it! Thank you so much! Sadly, this task will only let you donate the whole 2 dollars. If you wanna donate more you can donate through the website! I'm looking at donating 20 tonight too Yeah, I'm just so glad that I know they really help. How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.  Do you want to also donate the 2 dollars from this task?",0,FALSE
"Hello! So, are you interested in charities that help save the children? Instead of the typical charities that help children in a far away land, we here use state of the art location technology to help children in need right in your own community so you can see your money at work personally It would go to the three most important things that a child need. Food, shelter, and education. The majority of your donation would go towards education as that is often the most difficult to provide for the children We are completely transparent with our records, when you donate you will be given an account so you can track where every bit of your money goes, from your account all the way to the community. We appreciate your willingness to donate to this local cause, how much of a gratuity will you be offering today? Perfect, we will be sending over an email to setup your account info so you can track it and make any future donations if you desire. Thank you and have a nice day Need a couple more chat turns And another :D This should be the last one, adios o7",0,FALSE
